instancia;estado da arte;melhor;media;desvio padrao;tempo (ms);igual ao melhor;media no soa;chegou no soa;
p1.2.c;-1;7.371902;7,371902;0,000000;574,156250;32;0;0;
p1.2.m;-1;145.949539;142,528837;2,155460;20133,937500;8;0;0;
p1.3.c;-1;5.423144;5,423144;0,000000;556,875000;32;0;0;
p1.3.m;-1;112.071181;106,974016;1,877527;20004,968750;1;0;0;
p1.4.m;-1;70.251904;68,366186;1,008377;18236,468750;1;0;0;
p2.2.c;-1;119.225389;119,224594;0,004429;4195,062500;31;0;0;
p2.2.k;-1;231.044619;230,918881;0,613997;11054,906250;27;0;0;
p2.3.c;-1;85.836093;85,836093;0,000000;4453,750000;32;0;0;
p2.3.k;-1;171.906372;171,906372;0,000000;11853,812500;32;0;0;
p2.4.c;-1;55.933514;55,933514;0,000000;4176,156250;32;0;0;
p2.4.k;-1;136.979938;136,979258;0,001430;10251,593750;10;0;0;
p3.2.c;-1;159.011041;159,011041;0,000000;6309,031250;32;0;0;
p3.2.m;-1;526.490729;517,581709;5,007326;25072,125000;1;0;0;
p3.3.c;-1;100.449370;100,449370;0,000000;4207,843750;32;0;0;
p3.3.m;-1;427.189390;420,939372;5,297019;26216,750000;3;0;0;
p3.4.c;-1;73.279106;73,279106;0,000000;3850,468750;32;0;0;
p3.4.m;-1;298.291156;295,661797;2,181450;26083,500000;1;0;0;
p4.2.c;-1;358.265176;354,376965;2,942020;63857,625000;4;0;0;
p4.2.m;-1;834.183533;812,456520;10,934618;376384,218750;1;0;0;
p4.3.c;-1;124.152309;120,164209;2,639826;22138,812500;2;0;0;
p4.3.m;-1;785.095621;754,004304;15,198103;335617,375000;1;0;0;
p4.4.m;-1;656.209400;634,870922;12,814649;286561,531250;1;0;0;
p5.2.c;-1;35.871010;35,871010;0,000000;1943,125000;32;0;0;
p5.2.m;-1;775.055728;753,169005;11,667773;73211,031250;1;0;0;
p5.2.w;-1;1356.326430;1328,628601;11,201020;182226,531250;1;0;0;
p5.3.c;-1;10.527864;10,372394;0,672419;1037,375000;30;0;0;
p5.3.m;-1;576.283333;561,921972;7,475647;65349,437500;1;0;0;
p5.3.w;-1;1271.918451;1245,366501;12,384564;174462,500000;1;0;0;
p5.4.c;-1;5.237571;4,852672;1,018346;1141,718750;28;0;0;
p5.4.m;-1;470.441698;445,216831;11,645956;55478,968750;1;0;0;
;;;;;;;0;0;

